Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
TCP,TCP,1,192.168.1.1,49307,80,66,7.053540697909844,1
TCP,TCP,1,192.168.1.1,49501,80,66,7.060483159226684,1
DHCPV6,TCP,1,ff02::1:2,546,547,155,7.041494522774434,1
DHCPV6,TCP,1,ff02::1:2,546,547,155,7.048411511500145,1
TCP,TCP,1,192.168.1.1,49302,80,66,7.055328500225857,1
TCP,TCP,1,192.168.1.1,49308,80,66,7.062245488951569,1
TCP,TCP,1,192.168.1.1,49388,80,62,7.068399693557148,1
TCP,TCP,1,192.168.1.1,49502,80,66,7.050211540457569,1
TCP,TCP,1,192.168.1.1,49303,80,66,7.056344531801231,1
TCP,TCP,1,192.168.1.1,49309,80,66,7.063235493258068,1
TCP,TCP,1,192.168.1.1,49389,80,62,7.070126454714905,1
TCP,TCP,1,192.168.1.1,49503,80,66,7.077017416171742,1
TCP,TCP,1,192.168.1.1,49304,80,66,7.058865045362771,1
TCP,TCP,1,192.168.1.1,49310,80,66,7.065731645601451,1
TCP,TCP,1,192.168.1.1,49492,80,62,7.071840649781818,1
TCP,TCP,1,192.168.1.1,49504,80,66,7.078706514490343,1
BOOTP,UDP,1,255.255.255.255,68,67,331,7.060614060178043,1
TCP,TCP,1,192.168.1.1,49305,80,66,7.067455740468914,1
TCP,TCP,1,192.168.1.1,49311,80,66,7.074297420759784,1
TCP,TCP,1,192.168.1.1,49493,80,62,7.0811391010506535,1
TCP,TCP,1,192.168.1.1,49505,80,66,7.087224292669302,1
TCP,TCP,1,192.168.1.1,49306,80,66,7.069167378066226,1
TCP,TCP,1,192.168.1.1,49312,80,66,7.075984318642953,1
TCP,TCP,1,192.168.1.1,49494,80,62,7.08280125921968,1
TCP,TCP,1,192.168.1.1,49506,80,66,7.089618199796408,1
TCP,TCP,1,192.168.1.1,49307,80,66,7.070866670150815,1
TCP,TCP,1,192.168.1.1,49313,80,66,7.0776590492768,1
TCP,TCP,1,192.168.1.1,49495,80,62,7.0837007643801915,1
TCP,TCP,1,192.168.1.1,49308,80,66,7.090492423789952,1
BOOTP,UDP,1,255.255.255.255,68,67,342,7.073300643442106,1
ARP,UDP,1,192.168.1.1,0,0,60,7.079321777966849,1
ARP,UDP,0,192.168.1.12,0,0,42,7.086089772018442,0
TCP,TCP,1,192.168.1.1,49314,80,66,7.092108909161827,1
TCP,TCP,1,192.168.1.1,49496,80,62,7.098876188655303,1
TCP,TCP,1,192.168.1.1,49309,80,66,7.105643468148777,1
TCP,TCP,1,192.168.1.1,49315,80,66,7.088462165802855,1
TCP,TCP,1,192.168.1.1,49497,80,62,7.094460154823858,1
TCP,TCP,1,192.168.1.1,49310,80,66,7.101203938240991,1
TCP,TCP,1,192.168.1.1,49316,80,66,7.0826116408219,1
TCP,TCP,1,192.168.1.1,49498,80,62,7.089331386211675,1
TCP,TCP,1,192.168.1.1,49311,80,66,7.096051131601449,1
TCP,TCP,1,192.168.1.1,49499,80,62,7.077543161021919,1
TCP,TCP,1,192.168.1.1,49312,80,66,7.084239039130738,1
TCP,TCP,1,192.168.1.1,49500,80,62,7.066573987148504,1
BOOTP,UDP,1,255.255.255.255,68,67,331,7.072510569631504,1
TCP,TCP,1,192.168.1.1,49313,80,66,7.0791827494141755,1
TCP,TCP,1,192.168.1.1,49501,80,62,7.0608648159085705,1
TCP,TCP,1,192.168.1.1,49302,80,62,7.067513464511121,1
TCP,TCP,1,192.168.1.1,49314,80,66,7.074162113113672,1
TCP,TCP,1,192.168.1.1,49502,80,62,7.0566556016708155,1
TCP,TCP,1,192.168.1.1,49303,80,62,7.063281569371915,1
TCP,TCP,1,192.168.1.1,49390,80,66,7.069907537073014,1
TCP,TCP,1,192.168.1.1,49315,80,66,7.051022185612835,1
TCP,TCP,1,192.168.1.1,49503,80,62,7.057624266310975,1
TCP,TCP,1,192.168.1.1,49304,80,62,7.064226347009114,1
TCP,TCP,1,192.168.1.1,49391,80,66,7.070100195515729,1
TCP,TCP,1,192.168.1.1,49316,80,66,7.076701596258508,1
TCP,TCP,1,192.168.1.1,49504,80,62,7.0593104697156885,1
TCP,TCP,1,192.168.1.1,49305,80,62,7.065889510228005,1
TCP,TCP,1,192.168.1.1,49392,80,66,7.0724685507403215,1
TCP,TCP,1,192.168.1.1,49393,80,66,7.054428795346382,1
TCP,TCP,1,192.168.1.1,49394,80,66,7.060984955936853,1
TCP,TCP,1,192.168.1.1,49395,80,66,7.067541116527324,1
TCP,TCP,1,192.168.1.1,49505,80,62,7.073373775233011,1
TCP,TCP,1,192.168.1.1,49306,80,62,7.079929265293468,1
DHCPV6,TCP,1,ff02::1:2,546,547,155,7.086484755353926,1
DHCPV6,TCP,1,ff02::1:2,546,547,155,7.069181264048145,1
TCP,TCP,1,192.168.1.1,49506,80,62,7.075714703294031,1
TCP,TCP,1,192.168.1.1,49396,80,66,7.081526317063045,1
TCP,TCP,1,192.168.1.1,49307,80,62,7.08805909041827,1
TCP,TCP,1,192.168.1.1,49397,80,66,7.071528410409804,1
TCP,TCP,1,192.168.1.1,49308,80,62,7.078039946699316,1
TCP,TCP,1,192.168.1.1,49398,80,66,7.0594507681928995,1
TCP,TCP,1,192.168.1.1,49390,80,66,7.065939233972489,1
TCP,TCP,1,192.168.1.1,49309,80,62,7.072427699752078,1
TCP,TCP,1,192.168.1.1,49399,80,66,7.078916165531666,1
TCP,TCP,1,192.168.1.1,49310,80,62,7.061101799336385,1
TCP,TCP,1,192.168.1.1,49391,80,66,7.067568009775338,1
TCP,TCP,1,192.168.1.1,49400,80,66,7.049853317844691,1
TCP,TCP,1,192.168.1.1,49311,80,62,7.056297425082208,1
TCP,TCP,1,192.168.1.1,49392,80,66,7.062031536343216,1
TCP,TCP,1,192.168.1.1,49393,80,66,7.068474995774187,1
TCP,TCP,1,192.168.1.1,49394,80,66,7.052232379626379,1
TCP,TCP,1,192.168.1.1,49395,80,66,7.057947938787222,1
TCP,TCP,1,192.168.1.1,49401,80,66,7.063662352726697,1
TCP,TCP,1,192.168.1.1,49312,80,62,7.070083863956448,1
